"","filesToLoad","NoLinesEachFile","cumPercent","trainPercent","trainSkipPenalty","predictSkipPenalty","noWordsToPredict","NoTrainingFileLines","timeToTrain","avgTimeToPredict","sdTimeToPredict","sizeOfTrainDB","Accuracy","noWordsBasis","noWordsPredict","noWordsTotal"
"1",7,1000,1,0.6,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",7,100,1,0.6,2,1.2,3,NA,NA,NA,NA,NA,0.22972972972973,NA,NA,NA
"3",7,100,1,0.6,2,3,3,NA,NA,NA,NA,NA,0.256756756756757,NA,NA,NA
"4",7,100,1,0.6,2,2.5,3,NA,NA,NA,NA,NA,0.246621621621622,NA,NA,NA
"5",7,100,1,0.6,2.5,2,3,180,32,NA,NA,251552,0.273648648648649,2122,2122,2122
"6",7,100,1,0.6,1.5,2,3,180,30,NA,NA,243952,0.22972972972973,2077,2077,2077
"7",7,100,1,0.6,1.9,2,3,180,30,NA,NA,243952,0.22972972972973,2077,2077,2077
"8",7,100,1,0.6,2.1,2,3,180,31,NA,NA,251552,0.273648648648649,2122,2122,2122
"9",7,100,1,0.6,2,1.9,3,NA,NA,NA,NA,NA,0.273648648648649,NA,NA,NA
"10",7,100,1,0.6,2,2.1,3,NA,NA,0.013,0.009,NA,0.2365,NA,NA,NA
"11",7,500,1,0.6,2,2,3,900,202,0.023,0.016,909512,0.1962,6627,6627,6627
"12",7,1000,1,0.6,2,2,3,1800,509,0.034,0.028,1526568,0.1869,10172,10172,10172
"13",7,2000,1,0.6,2,2,3,3600,1567,0.056,0.047,2581088,0.1647,15481,15481,15481
"14",7,2000,1,0.6,2,2.5,3,NA,NA,0.057,0.048,NA,0.1624,NA,NA,NA
"15",7,2000,1,0.6,2,1.5,3,NA,NA,0.056,0.046,NA,0.1523,NA,NA,NA
"16",7,2000,1,0.6,1.5,2,3,3600,1808,0.05,0.032,2633152,0.1426,15768,15768,15768
"17",7,2000,1,0.6,2.5,2,3,3600,1713,0.05,0.033,2636392,0.1671,15735,15735,15735
"18",7,1000,0.99,0.6,2,2,3,1800,555,0.03,0.021,1481600,0.1855,9659,9659,9659
"19",7,1000,0.95,0.6,2,2,3,1800,472,0.026,0.018,1244528,0.1738,7524,7524,7524
"20",7,1000,0.9,0.6,2,2,3,1800,388,0.023,0.016,983280,0.16,5045,5045,5045
"21",7,1000,0.5,0.6,2,2,3,1800,102,0.009,0.01,87624,0.112,134,134,134
"22",1,1000,1,0.6,2,2,3
"23",2,1000,1,0.6,2,2,3
"24",4,1000,1,0.6,2,2,3
"25",7,100,1,0.6,2,2,3,180,30,NA,NA,243952,0.277027027027027,2077,2077,2077
"26",7,1000,1,0.6,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",7,1000,1,0.6,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
