"","Sentence.Fragment","answer"
"1","The guy in front of me just bought a pound of bacon, a bouquet, and a case of","beer"
"2","You're the reason why I smile everyday. Can you follow me please? It would mean the","world"
"3","Hey sunshine, can you follow me and make me the","happiest"
"4","Very early observations on the Bills game: Offense still struggling but the","defense"
"5","Go on a romantic date at the","beach"
"6","Well I'm pretty sure my granny has some old bagpipes in her garage I'll dust them off and be on my","way"
"7","Ohhhhh #PointBreak is on tomorrow. Love that film and haven't seen it in quite some","time"
"8","After the ice bucket challenge Louis will push his long wet hair out of his eyes with his little","fingers"
"9","Be grateful for the good times and keep the faith during the","bad"
"10","If this isn't the cutest thing you've ever seen, then you must be","insane"
